movie,character1,character2,location,interactionType,result,timestamp,,"methodology: This dataset contains interaction data between characters in the  Star Wars prequal movies created by George Lucas. The links between characters are defined from when they are shown on screen. Multiple interaction types can happen between characters within a scene, signalling a new interaction for interaction types in the same scene. character1 and character2 are characters who are directly interacting with each other. These timestamps were derived from the DisneyPlus streaming service. ",
1,watto,anakin skywalker,tatooine,dialogue,null,00:35:00,,,
1,qui-gon jinn,obi-wan kenobi,naboo starship,dialogue,null,00:35:21,,,
1,qui-gon jinn,jar jar binks,tatooine,dialogue,null,00:35:37,,,
1,sebulba,jar jar binks,tatooine,fighting,diffusion of sebulba from anakin,00:35:55,,,
1,anakin skywalker,sebulba,tatooine,dialogue,diffusion of sebulba from anakin,00:36:28,,,
1,qui-gon jinn,anakin skywalker,tatooine,dialogue,null,00:36:50,,,
1,obi-wan kenobi,gregar typho,tatooine,dialogue,null,00:37:20,,,
1,anakin skywalker,qui-gon jinn,tatooine,dialogue,invitation to home of anakin,00:37:48,,,
1,padme amidala,anakin skywalker,tatooine,dialogue,invitation to home of anakin,00:37:56,,,
1,anakin skywalker,shmi skywalker,tatooine,dialogue,null,00:38:18,,,
1,shmi skywalker,qui-gon jinn,tatooine,dialogue,null,00:38:30,,,
1,padme amidala,anakin skywalker,tatooine,dialogue,null,00:38:43,,,
1,c-3po,anakin skywalker,tatooine,dialogue,null,00:38:55,,,
1,r2-d2,c-3po,tatooine,dialogue,null,00:39:19,,,
1,sio bibble,queen amidala decoy,naboo starship,dialogue,null,00:39:47,,,
1,obi-wan kenobi,queen amidala decoy,naboo starship,dialogue,null,00:39:55,,,
1,qui-gon jinn,obi-wan kenobi,tatooine,dialogue,null,00:40:01,,,
1,darth maul,darth sidious,coruscant,dialogue,maul sent to tatooine,00:40:23,,,
1,shmi skywalker,anakin skywalker,tatooine,dialogue,null,00:40:54,,,
1,padme amidala,shmi skywalker,tatooine,dialogue,null,00:41:06,,,
1,qui-gon jinn,anakin skywalker,tatooine,dialogue,null,00:41:23,,,
1,shmi skywalker,qui-gon jinn,tatooine,dialogue,null,00:43:37,,,
1,padme amidala,qui-gon jinn,tatooine,dialogue,null,00:44:25,,,
1,watto,qui-gon jinn,tatooine,dialogue,anakin enlists in pod race,00:44:35,,,
1,anakin skywalker,watto,tatooine,dialogue,null,00:45:00,,,
1,obi-wan kenobi,qui-gon jinn,naboo starship,dialogue,null,00:46:20,,,
1,qui-gon jinn,shmi skywalker,tatooine,dialogue,null,00:46:38,,,
1,jar jar binks,jar jar binks,tatooine,dialogue,jar jar numbs tongue,00:48:30,,,
1,qui-gon jinn,anakin skywalker,tatooine,dialogue,null,00:49:04,,,
1,c-3po,r2-d2,tatooine,dialogue,null,00:49:22,,,
1,anakin skywalker,qui-gon jinn,tatooine,dialogue,anakin blood tested,00:50:00,,,
1,obi-wan kenobi,qui-gon jinn,tatooine,dialogue,null,00:50:40,,,
1,watto,qui-gon jinn,tatooine,dialogue,watta and qui-gon jinn bet for anakin,00:52:18,,,
1,anakin skywalker,watto,tatooine,dialogue,null,00:54:00,,,
1,r2-d2,c-3po,tatooine,dialogue,null,00:54:20,,,
1,anakin skywalker,padme amidala,tatooine,dialogue,null,00:54:30,,,
1,qui-gon jinn,padme amidala,tatooine,dialogue,null,00:58:45,,,
1,anakin skywalker,sebulba,tatooine,fighting,anakin wins pod race,01:10:23,,,
1,shmi skywalker,anakin skywalker,tatooine,dialogue,null,01:08:45,,,
1,qui-gon jinn,watto,tatooine,dialogue,anakin freed,01:10:36,,,
1,obi-wan kenobi,qui-gon jinn,tatooine,dialogue,ship fixed,01:11:20,,,
1,anakin skywalker,qui-gon jinn,tatooine,dialogue,null,01:11:44,,,
1,anakin skywalker,shmi skywalker,tatooine,dialogue,anakin leaves tatooine,01:12:06,,,
1,shmi skywalker,qui-gon jinn,tatooine,dialogue,null,01:12:20,,,
1,anakin skywalker,c-3po,tatooine,dialogue,null,01:14:14,,,
1,qui-gon jinn,darth maul,tatooine,fighting,qui gon escapes on ship,01:16:44,,,
1,gregar typho,obi-wan kenobi,naboo starship,dialogue,escape from naboo,01:17:12,,,
1,obi-wan kenobi,qui-gon jinn,naboo starship,dialogue,null,01:17:38,,,
1,qui-gon jinn,anakin skywalker,naboo starship,dialogue,null,01:17:48,,,
1,anakin skywalker,obi-wan kenobi,naboo starship,dialogue,anakin meets obi-wan,01:17:56,,,
1,nute gunray,sio bibble,naboo,dialogue,null,01:18:10,,,
1,padme amidala,anakin skywalker,naboo starship,dialogue,null,01:19:10,,,
1,ric olie,anakin skywalker,naboo starship,dialogue,null,01:20:40,,,
1,senator palpatine,queen amidala decoy,coruscant,dialogue,null,01:21:24,,,
1,chancellor valorum,queen amidala decoy,coruscant,dialogue,null,01:21:30,,,
1,qui-gon jinn,chancellor valorum,coruscant,dialogue,null,01:21:52,,,
1,padme amidala,anakin skywalker,coruscant,dialogue,null,01:22:03,,,
1,anakin skywalker,jar jar binks,coruscant,dialogue,null,01:22:16,,,
1,senator palpatine,queen amidala,coruscant,dialogue,null,01:22:54,,,
1,qui-gon jinn,ki-adi-mundi,coruscant,dialogue,null,01:24:23,,,
1,yoda,mace windu,coruscant,dialogue,null,01:24:33,,,
1,mace windu,qui-gon jinn,coruscant,dialogue,null,01:24:41,,,
1,qui-gon jinn,yoda,coruscant,dialogue,null,01:24:53,,,
1,queen amidala,anakin skywalker,coruscant,dialogue,null,01:26:18,,,
1,senator palpatine,chancellor valorum,coruscant,dialogue,null,01:27:07,,,
1,queen amidala,senator palpatine,coruscant,dialogue,null,01:28:14,,,
1,qui-gon jinn,obi-wan kenobi,coruscant,dialogue,null,01:29:27,,,
1,anakin skywalker,yoda,coruscant,dialogue,null,01:29:55,,,
1,mace windu,anakin skywalker,coruscant,dialogue,null,01:29:55,,,
1,ki-adi-mundi,anakin skywalker,coruscant,dialogue,null,01:30:28,,,
1,jar jar binks,queen amidala,coruscant,dialogue,null,01:31:12,,,
1,senator palpatine,queen amidala,coruscant,dialogue,null,01:31:44,,,
1,qui-gon jinn,ki-adi-mundi,coruscant,dialogue,null,01:33:11,,,
1,mace windu,qui-gon jinn,coruscant,dialogue,null,01:33:17,,,
1,yoda,qui-gon jinn,coruscant,dialogue,null,01:33:31,,,
1,obi-wan kenobi,yoda,coruscant,dialogue,null,01:33:58,,,
1,obi-wan kenobi,qui-gon jinn,coruscant,dialogue,null,01:34:54,,,
1,qui-gon jinn,anakin skywalker,coruscant,dialogue,null,01:35:17,,,
1,queen amidala,qui-gon jinn,coruscant,dialogue,return to naboo,01:36:00,,,
